wl (nm),n,k
300.594336025855,1.81869770168029,1.07694943170643
301.378334764977,1.82050222429292,1.07542572421544
302.162333504099,1.82227464039324,1.0738824813718
302.946332243222,1.82401478965539,1.07231991762324
303.730330982343,1.82572251227526,1.07073824816876
304.514329721465,1.82739764896443,1.06913768897324
305.298328460587,1.82904004094416,1.06751845678238
306.08232719971,1.83064952993963,1.0658807691378
306.866325938832,1.83222595817434,1.06422484439228
307.650324677954,1.83376916836468,1.06255090172525
308.434323417076,1.83527900371472,1.06085916115844
309.218322156198,1.83675530791116,1.05914984357178
310.00232089532,1.83819792511845,1.05742317071945
310.786319634442,1.83960669997415,1.05567936524618
311.570318373564,1.8409814775844,1.05391865070379
312.354317112687,1.84232210351968,1.05214125156784
313.138315851809,1.84362842381065,1.05034739325466
313.922314590931,1.84490028494431,1.04853730213849
314.706313330053,1.84613753386024,1.04671120556886
315.490312069175,1.84734001794711,1.04486933188831
316.274310808297,1.84850758503938,1.04301191045023
317.058309547419,1.84964008341423,1.04113917163697
317.842308286541,1.85073736178858,1.03925134687832
318.626307025663,1.85179926931653,1.03734866867004
319.410305764785,1.85282565558678,1.03543137059284
320.194304503907,1.85381637062047,1.0334996873315
320.978303243029,1.8547712648691,1.03155385469436
321.762301982151,1.85569018921277,1.02959410963294
322.546300721273,1.85657299495854,1.02762069026205
323.330299460395,1.8574195338392,1.02563383587995
324.114298199517,1.85822965801203,1.02363378698901
324.898296938639,1.85900322005807,1.02162078531651
325.682295677761,1.85974007298143,1.01959507383581
326.466294416884,1.86044007020895,1.01755689678787
327.250293156006,1.86110306559006,1.01550649970295
328.034291895128,1.861728913397,1.01344412942277
328.81829063425,1.86231746832519,1.01137003412291
329.602289373372,1.86286858549391,1.00928446333554
330.386288112494,1.86338212044734,1.00718766797255
331.170286851616,1.8638579291557,1.00507990034892
331.954285590738,1.86429586801694,1.00296141420652
332.738284329861,1.86469579385845,1.00083246473825
333.522283068983,1.86505756393927,0.998693308612473
334.306281808104,1.86538103595254,0.99654420399791
335.090280547226,1.86566606802827,0.994385410588828
335.874279286349,1.8659125187364,0.992217189630661
336.658278025471,1.8661202470903,0.990039803945975
337.442276764592,1.86628911255049,0.987853517960848
338.226275503715,1.86641897502877,0.985658597731645
339.010274242837,1.8665096948927,0.983455310972197
339.794272981959,1.86656113297045,0.981243927081385
340.578271721081,1.86657315055602,0.979024717171152
341.362270460203,1.86654560941484,0.976797954094954
